Name,player,CF% rel,FF% rel,TK,GV,E+/-
Justin Abdelkader\\abdelju01,Justin Abdelkader,-1.9,0,10,18,-5.2
Pontus Aberg\\abergpo01,Pontus Aberg,-18.2,-22.4,1,2,-0.8
Vitaly Abramov\\abramvi01,Vitaly Abramov,-14.7,-11.8,0,1,-0.3
Noel Acciari\\acciano01,Noel Acciari,-3.5,-2.5,32,21,-6.3
Andrew Agozzino\\agozzan01,Andrew Agozzino,8,7.4,5,4,-0.6
Sebastian Aho\\ahose01,Sebastian Aho,3.8,2.8,71,58,10
Karl Alzner\\alzneka01,Karl Alzner,0.4,-1.8,0,1,0.6
Michael Amadio\\amadimi01,Michael Amadio,1.8,1.6,31,25,2.4
Joey Anderson\\anderjo08,Joey Anderson,-0.9,0.6,4,7,-0.1
Josh Anderson\\anderjo05,Josh Anderson,-2.7,-3.7,9,12,-0.7
Michael Anderson\\andermi02,Michael Anderson,-6.1,-0.7,0,2,0.1
Jaret Anderson-Dolan\\anderja01,Jaret Anderson-Dolan,-2.8,-4.1,0,2,-1.6
Lias Andersson\\anderli01,Lias Andersson,-6.7,-5,8,4,-3.2
Rasmus Andersson\\anderra01,Rasmus Andersson,2.2,2.7,19,39,7.1
Andy Andreoff\\andrean01,Andy Andreoff,-2.4,1.1,1,0,-0.8
Anthony Angello\\angelan01,Anthony Angello,-2.8,-2,1,0,-0.5
Artem Anisimov\\anisiar01,Artem Anisimov,-0.8,-2,19,16,-3.2
Mason Appleton\\applema01,Mason Appleton,0.3,1.4,11,10,-2.3
Josh Archibald\\archijo01,Josh Archibald,-4.1,-2.5,24,11,-5.7
Joel Armia\\armiajo01,Joel Armia,-4.8,-5.5,47,27,3.4
Viktor Arvidsson\\arvidvi01,Viktor Arvidsson,-0.7,-2.5,15,24,-5.7
Rasmus Asplund\\asplura01,Rasmus Asplund,-2.5,-3.1,5,7,-1.1
Zach Aston-Reese\\astonza01,Zach Aston-Reese,0.2,-0.3,20,21,6.4
Andreas Athanasiou\\athanan01,Andreas Athanasiou,-0.1,1.1,15,31,-8.5
Cam Atkinson\\atkinca01,Cam Atkinson,0.3,-0.2,26,21,2.2
Nicolas Aube-Kubel\\aubekni01,Nicolas Aube-Kubel,-1.6,1,13,9,1.9
David Backes\\backeda01,David Backes,0.2,1.9,5,9,1.9
Mikael Backlund\\backlmi01,Mikael Backlund,1.1,0.8,64,55,2.7
Nicklas Backstrom\\backsni02,Nicklas Backstrom,2.6,3,34,42,6.1
Sven Baertschi\\baertsv01,Sven Baertschi,11.8,9.8,1,1,0.4
Josh Bailey\\bailejo01,Josh Bailey,-0.6,-1.5,38,54,-3.4
Justin Bailey\\baileju01,Justin Bailey,-4.8,-6.6,0,1,-0.1
Rudolfs Balcers\\balceru01,Rudolfs Balcers,3.4,2.6,7,5,-1.1
Ivan Barbashev\\barbaiv01,Ivan Barbashev,-4.9,-4.6,33,31,-5.8
Riley Barber\\barberi01,Riley Barber,-4.2,-2.8,0,2,-0.5
Mark Barberio\\barbema01,Mark Barberio,-0.9,-1.6,6,13,0.5
Cole Bardreau\\bardrco01,Cole Bardreau,-6.3,-4.2,4,4,-0.6
Aleksander Barkov\\barkoal01,Aleksander Barkov,3.6,2.5,51,52,3.2
Tyson Barrie\\barrity01,Tyson Barrie,3.1,1.4,16,62,0.6
Mathew Barzal\\barzama01,Mathew Barzal,7.8,8.3,70,103,7.5
Drake Batherson\\bathedr01,Drake Batherson,1.1,-0.8,5,5,-3.2
Jay Beagle\\beaglja01,Jay Beagle,-13.4,-11.3,14,7,-10.1
Ethan Bear\\bearet01,Ethan Bear,2.5,0.5,44,84,2.7
J.C. Beaudin\\beaudje01,J.C. Beaudin,-5.3,-6.6,1,2,-1.9
Nicolas Beaudin\\beaudni01,Nicolas Beaudin,-15.4,-21.4,0,1,-0.3
Nathan Beaulieu\\beaulna01,Nathan Beaulieu,-4.4,-1.7,6,23,-1.7
Anthony Beauvillier\\beauvan01,Anthony Beauvillier,-0.3,-0.3,29,51,-0.4
Pierre-Edouard Bellemare\\bellepi01,Pierre-Edouard Bellemare,1,1.6,53,17,5.3
Kieffer Bellows\\belloki01,Kieffer Bellows,-8.4,-5.5,2,5,0.9
Emil Bemstrom\\bemstem01,Emil Bemstrom,1.2,-1.1,10,16,1.1
Jamie Benn\\bennja01,Jamie Benn,2.7,3,52,56,7.7
Jordie Benn\\bennjo01,Jordie Benn,-8.4,-7.3,7,17,-8.3
Sam Bennett\\bennesa01,Sam Bennett,-1.1,-1.3,19,22,1.9
Matt Benning\\bennima01,Matt Benning,0.2,1.2,12,19,-0.8
Tyler Benson\\bensoty01,Tyler Benson,-1.6,0.3,2,3,-0.8
Patrice Bergeron\\bergepa01,Patrice Bergeron,6.8,5.8,44,22,8.1
Lean Bergmann\\bergmle01,Lean Bergmann,-16.3,-16.2,3,0,-3.6
Tyler Bertuzzi\\bertuty01,Tyler Bertuzzi,5.1,4.4,25,57,-3
Alex Biega\\biegaal01,Alex Biega,-0.7,-0.1,4,30,-8
Jake Bischoff\\bischja01,Jake Bischoff,0.5,4.5,0,2,0
Clark Bishop\\bishocl01,Clark Bishop,0.3,3.8,1,1,-1
Anthony Bitetto\\bitetan01,Anthony Bitetto,-3.2,-1.4,16,22,-4.3
Anders Bjork\\bjorkan01,Anders Bjork,-1.7,-0.6,21,14,4.3
Oliver Bjorkstrand\\bjorkol01,Oliver Bjorkstrand,5.1,5,32,27,11.7
Tobias Bjornfot\\bjornto01,Tobias Bjornfot,-19.6,-25.2,0,0,-1.3
Nick Bjugstad\\bjugsni01,Nick Bjugstad,-5.8,-3.4,3,5,0.2
