player,corsi_pct,fenwick_pct,tk,gv,exp_plus_minus,pdo
Justin Abdelkader,-1.9,0,10,18,-5.2,94.6
Pontus Aberg,-18.2,-22.4,1,2,-0.8,105.2
Vitaly Abramov,-14.7,-11.8,0,1,-0.3,104.2
Noel Acciari,-3.5,-2.5,32,21,-6.3,100.7
Andrew Agozzino,8,7.4,5,4,-0.6,105.2
Sebastian Aho,3.8,2.8,71,58,10,98.4
Karl Alzner,0.4,-1.8,0,1,0.6,93.8
Michael Amadio,1.8,1.6,31,25,2.4,96.0
Joey Anderson,-0.9,0.6,4,7,-0.1,102.3
Josh Anderson,-2.7,-3.7,9,12,-0.7,95.7
Michael Anderson,-6.1,-0.7,0,2,0.1,110.9
Jaret Anderson-Dolan,-2.8,-4.1,0,2,-1.6,94.1
Lias Andersson,-6.7,-5,8,4,-3.2,90.6
Rasmus Andersson,2.2,2.7,19,39,7.1,98.9
Andy Andreoff,-2.4,1.1,1,0,-0.8,93.4
Anthony Angello,-2.8,-2,1,0,-0.5,101.7
Artem Anisimov,-0.8,-2,19,16,-3.2,97.5
Mason Appleton,0.3,1.4,11,10,-2.3,95.9
Josh Archibald,-4.1,-2.5,24,11,-5.7,98.4
Joel Armia,-4.8,-5.5,47,27,3.4,99.2
Viktor Arvidsson,-0.7,-2.5,15,24,-5.7,100.1
Rasmus Asplund,-2.5,-3.1,5,7,-1.1,97.5
Zach Aston-Reese,0.2,-0.3,20,21,6.4,100.3
Andreas Athanasiou,-0.1,1.1,15,31,-8.5,90.7
Cam Atkinson,0.3,-0.2,26,21,2.2,99.9
Nicolas Aube-Kubel,-1.6,1,13,9,1.9,100.6
David Backes,0.2,1.9,5,9,1.9,97.6
Mikael Backlund,1.1,0.8,64,55,2.7,100.2
Nicklas Backstrom,2.6,3,34,42,6.1,98.8
Sven Baertschi,11.8,9.8,1,1,0.4,92.0
Josh Bailey,-0.6,-1.5,38,54,-3.4,98.7
Justin Bailey,-4.8,-6.6,0,1,-0.1,100.0
Rudolfs Balcers,3.4,2.6,7,5,-1.1,98.2
Ivan Barbashev,-4.9,-4.6,33,31,-5.8,101.2
Riley Barber,-4.2,-2.8,0,2,-0.5,96.9
Mark Barberio,-0.9,-1.6,6,13,0.5,102.2
Cole Bardreau,-6.3,-4.2,4,4,-0.6,93.3
Aleksander Barkov,3.6,2.5,51,52,3.2,99.7
Tyson Barrie,3.1,1.4,16,62,0.6,99.1
Mathew Barzal,7.8,8.3,70,103,7.5,100.6
Drake Batherson,1.1,-0.8,5,5,-3.2,93.3
Jay Beagle,-13.4,-11.3,14,7,-10.1,98.3
Ethan Bear,2.5,0.5,44,84,2.7,100.0
J.C. Beaudin,-5.3,-6.6,1,2,-1.9,95.0
Nicolas Beaudin,-15.4,-21.4,0,1,-0.3,109.1
Nathan Beaulieu,-4.4,-1.7,6,23,-1.7,105.2
Anthony Beauvillier,-0.3,-0.3,29,51,-0.4,98.5
Pierre-Edouard Bellemare,1,1.6,53,17,5.3,97.9
Kieffer Bellows,-8.4,-5.5,2,5,0.9,109.3
Emil Bemstrom,1.2,-1.1,10,16,1.1,96.1
Jamie Benn,2.7,3,52,56,7.7,99.8
Jordie Benn,-8.4,-7.3,7,17,-8.3,100.8
Sam Bennett,-1.1,-1.3,19,22,1.9,100.5
Matt Benning,0.2,1.2,12,19,-0.8,103.3
Tyler Benson,-1.6,0.3,2,3,-0.8,97.8
Patrice Bergeron,6.8,5.8,44,22,8.1,103.2
Lean Bergmann,-16.3,-16.2,3,0,-3.6,91.6
Tyler Bertuzzi,5.1,4.4,25,57,-3,98.3
Alex Biega,-0.7,-0.1,4,30,-8,98.6
Jake Bischoff,0.5,4.5,0,2,0,94.4
Clark Bishop,0.3,3.8,1,1,-1,84.2
Anthony Bitetto,-3.2,-1.4,16,22,-4.3,102.4
Anders Bjork,-1.7,-0.6,21,14,4.3,100.9
Oliver Bjorkstrand,5.1,5,32,27,11.7,101.0
Tobias Bjornfot,-19.6,-25.2,0,0,-1.3,78.9
Nick Bjugstad,-5.8,-3.4,3,5,0.2,100.6
Colin Blackwell,-0.2,2.7,6,7,0.8,103.6
Sammy Blais,-1,-0.7,12,18,3.2,99.4
Joseph Blandisi,-10,-11.5,8,1,-1.6,99.8
Joachim Blichfeld,-11.3,-6,2,0,-0.7,87.5
Anton Blidh,-6.2,-8,2,1,0.9,103.3
Teddy Blueger,-0.7,-2.7,29,22,-2,99.5
Mikkel Boedker,-4.2,-2.2,1,8,-2.4,97.8
Brock Boeser,6.7,7.2,20,22,5.2,100.5
Zach Bogosian,-1.2,-1.7,4,11,-1.8,100.9
Nick Bonino,-1.7,0.4,47,22,2.2,103.0
Adam Boqvist,0.5,1.1,10,26,-2.8,100.2
Jesper Boqvist,-0.3,-1.2,13,11,-3.2,95.1
Henrik Borgstr,-6.5,-10.3,3,1,-0.3,85.7
Mark Borowiecki,-4,-1,10,30,-4.4,100.3
Robert Bortuzzo,-0.7,-2.1,2,10,3.6,104.8
Gabriel Bourque,-8.2,-6.8,5,14,-3.5,100.5
Jay Bouwmeester,-7.3,-6.1,11,32,-9.5,102.2
Madison Bowey,-2.3,-2.9,14,45,-12.1,98.1
Johnny Boychuk,-1.9,-2.5,6,50,-8,99.4
Travis Boyd,2.9,2.1,7,6,0.6,107.3
Brian Boyle,-6.7,-5.2,16,13,-2.7,100.5
Tyler Bozak,-0.2,-0.8,29,20,5.4,100.1
Erik Brannstrom,1.5,1,5,20,0,97.2
Derick Brassard,-2.5,-2.4,26,40,-0.4,101.7
Jesper Bratt,2.7,3.7,18,24,-2.8,98.9
Justin Braun,-1.7,-2.3,10,31,2.7,98.5
TJ Brodie,3.6,2.8,34,52,3.2,101.3
Jonas Brodin,-1.2,0.8,14,16,6.2,101.7
Jonny Brodzinski,-2.1,2.6,0,0,-0.5,96.7
Adam Brooks,-6.6,-6.7,2,1,0.3,105.3
Troy Brouwer,-8.4,-9.8,1,2,-1.2,103.8
Connor Brown,0.3,1.6,52,40,0.9,99.5
Dustin Brown,-3.3,-3.4,28,35,-3.5,99.4
Josh Brown,-1.1,-0.8,10,24,-1.9,101.4
Logan Brown,-0.4,1,10,16,1.3,99.8
Patrick Brown,20,25,0,1,0.6,70.0
Pavel Buchnevich,6.6,7.1,38,64,10.4,99.7
Connor Bunnaman,-6.4,-5.2,1,4,1.8,108.6
Andre Burakovsky,2.3,0.6,27,33,2.4,103.3
Brent Burns,-1.4,-2.2,49,76,-7.6,98.4
Will Butcher,2.1,2.6,10,27,-1.6,99.1
Paul Byron,-0.4,-2,11,10,1.2,100.1
Nicholas Caamano,-4.7,-3.7,1,2,-1.5,103.4
Drake Caggiula,-0.2,0.1,19,5,-1.6,99.8
Matt Calvert,2.4,2.6,21,13,6.4,100.6
Kyle Capobianco,-2.9,-5.1,1,4,-0.5,98.7
Paul Carey,-30.9,-31.5,0,0,-0.4,
Brandon Carlo,0.2,-0.9,31,32,-1.1,102.0
John Carlson,0.3,0.6,42,80,1.6,102.4
Gabriel Carlsson,-3.5,-3.3,0,3,0.3,96.9
Lucas Carlsson,-5.5,-2.1,1,0,0.4,108.9
Ryan Carpenter,-2.2,-0.8,30,29,-5.4,98.2
Daniel Carr,-7.9,-8.1,8,1,-1.3,92.4
Connor Carrick,-4.8,-5.6,5,12,-2.7,100.4
Sam Carrick,9.2,12.1,1,5,0,91.7
Trevor Carrick,-15,-24.8,0,2,-0.3,100.0
Alexandre Carrier,18.6,19.1,0,0,1.5,109.1
William Carrier,-0.9,-0.5,22,8,9.1,99.1
Jeff Carter,-0.7,-0.9,13,20,0,94.5
Colby Cave,-3.2,0.3,3,1,-0.1,92.3
Cody Ceci,-4.1,-4.6,13,30,0.6,102.1
Peter Cehlarik,11.6,15.5,3,1,0.3,88.3
Erik Cernak,-2.7,-2,18,28,-1.3,101.5
Thomas Chabot,3.9,2,42,87,1.3,98.1
Michael Chaput,1.4,8.7,0,1,0.5,33.3
Zdeno Chara,-6.5,-5.6,26,52,-4.6,104.8
Ben Chiarot,-0.5,-0.1,18,86,11.9,98.9
Alex Chiasson,2.8,0.6,14,20,-0.5,101.2
Andrei Chibisov,-17.4,-10.8,0,0,-0.2,100.0
Filip Chlapik,4.8,6.6,8,6,-0.9,94.1
Dennis Cholowski,0.6,0.4,4,21,-1.9,93.6
Jakob Chychrun,3,4.2,27,52,1.7,99.9
Filip Chytil,0.6,-0.2,33,33,-1.7,99.5
Anthony Cirelli,0.8,1.4,53,24,9.9,105.4
Casey Cizikas,-0.4,0.1,38,28,3.3,102.5
Fredrik Claesson,-1.5,1,1,1,1.4,104.3
Kale Clague,-11.3,-7.3,0,1,-0.9,92.7
Kyle Clifford,-0.2,-0.2,11,17,2.4,97.6
Connor Clifton,-4.1,-5.7,12,7,-1.9,103.6
Cal Clutterbuck,-6,-4.4,12,21,-1.6,103.7
Braydon Coburn,0.2,-1.4,3,5,0.8,102.7
Andrew Cogliano,0.5,-0.5,24,20,-2.2,99.9
Ian Cole,0,2.4,18,37,6.1,102.6
